day,w1118,dsodWT,A4V,A4V/X16
1,100,100,100,100
2,100,98.84169884,99.6031746,98
3,100,98.84169884,98.80952381,98
4,100,98.84169884,98.41269841,98
5,100,98.84169884,94.04761905,96
6,100,98.84169884,91.66666667,92
7,100,98.84169884,87.6984127,90
8,99.49238579,98.84169884,74.20634921,86
9,99.49238579,98.84169884,66.26984127,80
10,99.49238579,98.84169884,55.55555556,76
11,99.49238579,98.06949807,41.66666667,46
12,99.49238579,98.06949807,35.31746032,42
13,98.98477157,97.68339768,18.25396825,38
14,97.96954315,97.2972973,11.50793651,24
15,96.95431472,95.75289575,3.571428571,18
16,95.43147208,95.36679537,3.174603175,16
17,94.92385787,95.36679537,1.19047619,12
18,94.41624365,94.98069498,0.793650794,0
19,94.41624365,94.98069498,0.396825397,
20,94.41624365,94.98069498,0.396825397,
21,93.90862944,94.98069498,0.396825397,
22,93.40101523,94.59459459,0.396825397,
23,92.3857868,93.82239382,0.396825397,
24,91.87817259,93.43629344,0.396825397,
25,90.35532995,91.11969112,0.396825397,
26,90.35532995,89.57528958,0.396825397,
27,86.80203046,88.41698842,0.396825397,
28,86.29441624,87.25868726,0.396825397,
29,85.27918782,87.25868726,0.396825397,
30,84.26395939,87.25868726,0,
31,82.74111675,86.48648649,,
32,80.7106599,85.32818533,,
33,79.18781726,84.94208494,,
34,78.68020305,83.78378378,,
35,78.68020305,83.3976834,,
36,78.68020305,79.15057915,,
37,77.66497462,79.15057915,,
38,76.14213198,76.83397683,,
39,74.11167513,75.28957529,,
40,73.60406091,73.35907336,,
41,73.60406091,72.97297297,,
42,71.06598985,69.88416988,,
43,70.05076142,67.95366795,,
44,68.52791878,65.63706564,,
45,68.52791878,65.63706564,,
46,66.49746193,63.32046332,,
47,64.97461929,62.93436293,,
48,62.43654822,61.003861,,
49,62.43654822,59.84555985,,
50,60.91370558,54.44015444,,
51,59.89847716,49.42084942,,
52,58.88324873,46.33204633,,
53,55.83756345,45.94594595,,
54,51.77664975,44.78764479,,
55,44.67005076,43.24324324,,
56,43.65482234,39.38223938,,
57,41.11675127,38.61003861,,
58,36.54822335,35.13513514,,
59,35.53299492,33.97683398,,
60,26.9035533,31.66023166,,
61,21.82741117,31.27413127,,
62,20.30456853,28.95752896,,
63,19.79695431,28.57142857,,
64,16.75126904,24.71042471,,
65,11.6751269,20.84942085,,
66,8.629441624,16.6023166,,
67,6.598984772,14.28571429,,
68,5.583756345,11.96911197,,
69,2.538071066,11.58301158,,
70,2.030456853,8.494208494,,
71,1.52284264,6.177606178,,
72,1.015228426,5.019305019,,
73,0,5.019305019,,
74,,0.05019305,,
75,,0.046332046,,
76,,0.034749035,,
77,,0.030888031,,
78,,0.015444015,,
79,,0.015444015,,
80,,0.007722008,,
81,,0.007722008,,
82,,0,,