Name,Genotype,Sex,Age,Branchpoints
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,16
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,19
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,16
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,11
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,11
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,21
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,15
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,18
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,15
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,22
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,17
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,12
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,15
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,18
WTF3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,3,21
A4VF3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,3,10
A4VF3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,3,15
A4VF3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,3,19
A4VF3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,3,18
A4VF3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,3,20
A4VF3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,3,14
A4VF3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,3,17
A4VF3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,3,14
A4VF3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,3,18
A4VF3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,3,14
A4VF3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,3,16
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,14
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,7
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,18
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,9
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,16
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,9
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,13
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,13
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,18
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,18
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,13
A4VF10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,10,6
A4VF10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,10,17
A4VF10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,10,8
A4VF10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,10,9
A4VF10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,10,7
A4VF10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,10,9
A4VF10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,10,12
A4VF10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,10,8
A4VF10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,10,6
A4VF10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,10,3
A4VF10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,10,10
A4VF10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,10,12
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,14
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,11
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,7
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,15
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,14
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,7
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,8
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,8
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,14
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,11
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,13
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,12
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,13
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,19
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,16
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,4
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,8
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,9
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,10
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,8
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,9
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,8
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,7
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,10
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,7
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,8
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,10
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,7
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,2
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,7
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,7
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,26
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,21
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,20
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,15
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,19
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,22
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,12
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,16
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,19
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,19
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,18
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,20
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,11
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,22
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,13
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,16
WTM3,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,3,16
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,17
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,18
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,11
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,18
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,23
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,11
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,12
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,16
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,21
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,18
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,19
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,17
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,20
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,14
A4VM3,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,3,18
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,15
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,16
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,18
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,17
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,21
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,19
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,19
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,21
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,23
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,15
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,23
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,11
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,20
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,13
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,8
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,12
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,9
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,12
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,10
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,12
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,13